rank,title,rating,ratings_total,price
1,"All-new Amazon Fire TV Stick 4K streaming device, more than 700,000 movies and TV episodes, supports Wi-Fi 6, watch free & li",4.6,3841,$49.99
2,"Amazon Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",4.7,46709,$41.99
3,Apple EarPods with Lightning Connector - White,4.5,273518,$24.94
4,"All-new Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",4.6,2731,$64.99
5,TAGRY Bluetooth Headphones 60H Playback True Wireless Earbuds LED Power Display Earphones with Wireless Charging Case IPX5 Wa,4.4,62790,$39.99
6,"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts, and Alexa enabled — wired or wire-free (Black)",4.0,10908,$44.99
7,"Wireless Earbuds, Bluetooth Ear Buds 5.3 Mini HiFi Stereo with 4 ENC Noise Cancelling Mics Wireless Headphones, in Ear Earpho",4.5,2352,$28.48
8,"Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page ",4.7,7464,$159.99
9,"Chromecast with Google TV (HD) - Streaming Stick Entertainment On Your TV with Voice Search - Watch Movies, Shows, and Live T",4.7,8477,$39.98
10,Canon PIXMA TS3420 Wireless Inkjet Printer,4.1,4490,$59.99
11,"Pipishell Full Motion TV Wall Mount for 26-65 inch TVs, up to 99lbs and VESA 400x400mm, Wall Mount TV Bracket with Articulati",4.6,7137,$49.99
12,"TP-Link AC1900 WiFi Extender (RE550), Covers Up to 2800 Sq.ft and 35 Devices, 1900Mbps Dual Band Wireless Repeater, Internet ",4.3,42161,$59.97
13,"All-New Blink Outdoor 4 (4th Gen) – Wire-free smart security camera, two-year battery life, two-way audio, HD live view, enha",4.1,1656,$77.99
14,"360° View 2K Pet Camera with Phone App, Indoor Security Camera, P2T Baby Monitor, Pan/Tilt, Motion & Sound Detection, Night V",4.3,9294,$29.99
15,"Roku Express (Official Roku Product | New, 2023) HD Streaming Device with High-Speed HDMI Cable and Simple Remote (No TV Cont",4.6,11144,$29.98
16,"Apple EarPods with USB-C Connector - Microphone with Built-in Remote to Control Music, Phone Calls, and Volume. Wired Earbuds",4.5,273518,$25
17,Apple AirPods (2nd Generation),4.6,19707,$168.99
18,"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 4",4.5,65932,$69.99
19,"3rd Gen Remote Control Replacement with Voice Function (L5B83G) Fit for Fire Smart TV Cube, 3rd Gen Smart TV, Smart TV Stick ",4.5,162,$13.9
20,"Amazon Fire TV Stick Lite with latest Alexa Voice Remote Lite (no TV controls), HD streaming device",4.6,8920,$34.99
21,"soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, IPX5 Water-Resis",4.4,15304,$24.99
22,"Phomemo D30 Label Maker Machine with Tape, Portable Bluetooth Label Printer, Small Smart Phone Handheld Sticker Mini Labeler ",4.4,15607,$35.99
23,Full Motion TV Monitor Wall Mount Bracket Articulating Arms Swivels Tilts Extension Rotation for Most 13-42 Inch LED LCD Flat,4.6,112871,$31.99
