rank,position,title,asin,rating,ratings_total,price.symbol,price.value,price.currency,price.raw,current_category.name,current_category.id,parent_category.name,parent_category.id
1,1,$25 Xbox Gift Card - [Digital Code],B08M8NR5KM,4.4,2773,$,25.0,CAD,$25.00,Video Games,videogames,Any Department,zgbs
2,2,DualSense Wireless Controller - Midnight Black,B0951JZDWT,4.6,3115,$,89.96,CAD,$89.96,Video Games,videogames,Any Department,zgbs
3,3,Meta Quest 2 — Advanced All-In-One Virtual Reality Headset 128 GB,B09B2YFYYX,4.5,27456,$,279.96,CAD,$279.96,Video Games,videogames,Any Department,zgbs
4,4,Prince of Persia™: The Lost Crown - Nintendo Switch,B0C7SNL397,4.6,158,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
5,5,Xbox Game Pass Ultimate: 1 Month Membership [Digital Code],B08M8WSRX9,4.6,681,$,16.99,CAD,$16.99,Video Games,videogames,Any Department,zgbs
6,6,"Amazon Basics 3-Button USB Wired Computer Mouse (Black), 1-Pack",B005EJH6RW,4.5,79059,$,11.71,CAD,$11.71,Video Games,videogames,Any Department,zgbs
7,7,Super Mario Bros.™ Wonder – Nintendo Switch,B0C8VP76Z2,4.8,1796,$,68.04,CAD,$68.04,Video Games,videogames,Any Department,zgbs
8,8,"Prince of Persia™: The Lost Crown - Standard Edition, PlayStation 5",B0C7RP9T1G,4.6,158,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
9,9,"Logitech M185 Wireless Mouse, 2.4GHz with USB Mini Receiver, 12-Month Battery Life, 1000 DPI Optical Tracking, Ambidextrous, ",B00P43PCI8,4.6,27293,$,19.99,CAD,$19.99,Video Games,videogames,Any Department,zgbs
10,10,Minecraft for Nintendo Switch,B07D13QGXM,4.7,42121,$,29.96,CAD,$29.96,Video Games,videogames,Any Department,zgbs
11,11,"Controller for Nintendo Switch, Switch Controllers Left and Right Support Vibration/6-Axis Gyroscope and Wake-up Function",B0CG359M61,4.5,367,$,39.99,CAD,$39.99,Video Games,videogames,Any Department,zgbs
12,12,"Wireless Mouse,Rechargeable Mouse Wireless 2.4G USB Ergonomic Computer Mouse(Battery Level Visible),Silent Wireless Mice for ",B0BZY54XX6,4.4,2770,$,18.99,CAD,$18.99,Video Games,videogames,Any Department,zgbs
